,Index,Lemma,Derived Word,Context
0,1,गन्ना,गन्नाधिकारी,जिला गन्नाधिकारी साहब
1,2,संदेह,संदेहलाभ,में संदेहलाभ दिया
2,3,संदेह,संदेहो,गंभीर संदेहो के
3,4,मारपीट,मारपीटकर,जाकर मारपीटकर और
4,5,मारपीट,मारपीटा,को मारपीटा और
5,6,जड़,जड़ों,की जड़ों में
6,7,कंधा,कंधाें,अपने कंधाें पर
7,8,कंधा,कंधाल,कि कंधाल के
8,9,लोकतंत्र,लोकतंत्रा,जीतना लोकतंत्रा का
9,10,लोकतंत्र,लोकतंत्र्ा,जो लोकतंत्र्ा को
10,11,परिवर्तित,परिवर्तितकर,प्रेषक परिवर्तितकर सकते
11,12,फीका,फीकापन,में फीकापन ना
12,13,सिवान,सिवानी,जगह सिवानी के
13,14,गीगा,गीगाटन,में गीगाटन के
14,15,गीगा,गीगाहट्र्ज,स्पीड गीगाहट्र्ज और
15,16,खंडपीठ,खंडपीठों,की खंडपीठों में
16,17,कामेश्वरन,कामेश्वरनाथ,कुलपति कामेश्वरनाथ ने
17,18,शक्ल,शक्लो,और शक्लो सूरत
18,19,शक्ल,शक्लसूरत,कैसीकैसी शक्लसूरत व
19,20,फराह,फराही,अब्बाद फराही ने
20,21,फिसड्डी,फिसड्डीपन,के फिसड्डीपन की
21,22,याचना,याचनाओं,उन याचनाओं के
22,23,आराम,आरामफरमाऊ,और आरामफरमाऊ बुद्धिजीवी
23,24,कवर,कवरेज,की कवरेज के
24,25,वाइस,वाइसओवर,एक वाइसओवर बताता
25,26,वाइस,वाइसी,टू वाइसी सब
26,27,वाइस,वाइस्,में वाइस् ओवर
27,28,स्क्रैप,स्क्रैपबुक,एक स्क्रैपबुक बनाई
28,29,स्क्रैप,स्क्रैप्ड,बॉटम स्क्रैप्ड नहीं
29,30,स्क्रैप,स्क्रैपर,दर्जनों स्क्रैपर ऑनलाइन
30,31,स्क्रैप,स्क्रैप्स,फ़ंक्शन स्क्रैप्स के
31,32,स्क्रैप,स्क्रैपिंग,एक स्क्रैपिंग टूल
32,33,सुविधा,सुविधाऐं,तमाम सुविधाऐं केवल
33,34,सुविधा,सुविधांए,समान सुविधांए देने
34,35,सुविधा,सुविधाः,सोमवार सुविधाः आधार
35,36,द्रव्यमान,द्रव्यमानों,परमाणु द्रव्यमानों की
36,37,द्रव्यमान,द्रव्यमानो,के द्रव्यमानो का
37,38,स्केल,स्केलटल,का स्केलटल से
38,39,स्केल,स्केलप,को स्केलप पर
39,40,स्थाई,स्थाईभाव,प्रबल स्थाईभाव है
40,41,प्रतिबद्धता,प्रतिबद्धताएँ,प्रति प्रतिबद्धताएँ तो
41,42,त्रिवेंद्रम,त्रिवेंद्रम्,और त्रिवेंद्रम् से
42,43,गायन,गायन्,पार्श्व गायन् की
43,44,वार्डन,वार्डनों,की वार्डनों व
44,45,स्वीपर,स्वीपरों,द्वारा स्वीपरों के
45,46,स्वीपर,स्वीपर्स,टाइम स्वीपर्स काम
46,47,क्रिसमस,क्रिसमसटाइड,उत्सव क्रिसमसटाइड शुरू
47,48,अभद्रता,अभद्रताएं,की अभद्रताएं व्यक्त
48,49,अभद्रता,अभद्रतापूर्वक,पर अभद्रतापूर्वक चिल्लाने
49,50,शौहर,शौहरों,तो शौहरों की
50,51,संगठन,संगठने,व्यापार संगठने प्रभावी
51,52,प्रज्ञा,प्रज्ञाजी,नित्य प्रज्ञाजी ने
52,53,प्रज्ञा,प्रज्ञाशील,और प्रज्ञाशील को
53,54,निहितार्थ,निहितार्थों,के निहितार्थों को
54,55,निहितार्थ,निहितार्थो,रचता निहितार्थो में
55,56,पेशी,पेशीन,इस पेशीन गोई
56,57,पेशी,पेशीयो,तब पेशीयो को
57,58,पेशी,पेशीयोँ,बाद पेशीयोँ को
58,59,दफन,दफनाने,को दफनाने को
59,60,निराला,निरालाः,कृति निरालाः आस्था
60,61,सुगर,सुगरी,और सुगरी भेड़िया
61,62,दौलतमंद,दौलतमंदों,लगातार दौलतमंदों के
62,63,दौलतमंद,दौलतमंदी,ज़माना दौलतमंदी का
63,64,आर्थिक,आर्थिकं,की आर्थिकं समस्या
64,65,मान्यता,मान्यताये,दो मान्यताये मानी
65,66,मान्यता,मान्यताऐं,पारम्परिक मान्यताऐं ही
66,67,मान्यता,मान्यताः,धार्मिक मान्यताः इस्लामिक
67,68,मान्यता,मान्यतायों,जी मान्यतायों के
68,69,काटो,काटोल,के काटोल नाका
69,70,काटो,काटोया,के काटोया नगर
70,71,बांच,बांचिए,को बांचिए तो
71,72,अटैचमेंट,अटैचमेंट्स,आये अटैचमेंट्स को
72,73,दोस्ती,दोस्तीं,हैं दोस्तीं हो
73,74,कटहल,कटहला,उपरत्न कटहला या
74,75,हुड्डा,हुड्डाए,संतोष हुड्डाए रतनु
