,Derived Word,Lemma
0,मोमबत्तियों,मोमबत्ती
1,मोमबत्तियाँ,मोमबत्ती
2,मोमबत्ति,मोमबत्ती
3,मोमबत्तिया,मोमबत्ती
4,गन्नाः,गन्ना
5,उपगन्ना,गन्ना
6,गन्नाधिकारी,गन्ना
7,कोउजागर,उजागर
8,शीलभूषित,उजागर
9,उजाग,उजागर
10,उजागार,उजागर
11,संदेहलाभ,संदेह
12,संदेह्,संदेह
13,संदेहो,संदेह
14,संदेहक,संदेह
15,बथान,खटाल
16,टपरा,खटाल
17,टपरे,खटाल
18,बाडे़,खटाल
19,ढ़ाबे,खटाल
20,इन्टरनेट,इंटरनेट
21,इंटरनैट,इंटरनेट
22,इटरनेट,इंटरनेट
23,है.इंटरनेट,इंटरनेट
24,आउटरनेट,इंटरनेट
25,धनरुआ,बेऊर
26,तेघड़ा,बेऊर
27,मसौढ़ी,बेऊर
28,दर्शनार्थीं,दर्शनार्थी
29,दर्शनार्थीजब,दर्शनार्थी
30,दर्शनार्थियो,दर्शनार्थी
31,शालटील,डेविड
32,फैरर,डेविड
33,गोएबेल,डेविड
34,टान्गुए,डेविड
35,हैसलहोफ,डेविड
36,उपकोषाध्यक्ष,कोषाध्यक्ष
37,सहकोषाध्यक्ष,कोषाध्यक्ष
38,सहसचिव,कोषाध्यक्ष
39,बहौंडा,हौंडा
40,घौंडा,हौंडा
41,चौंडा,हौंडा
42,पजेरो,हौंडा
43,हॉण्डा,हौंडा
44,चेन्गलपट्टू,चेंगलपट्टू
45,चेंगलपट्टु,चेंगलपट्टू
46,चेंगलपट्ट,चेंगलपट्टू
47,चेंगलपट्टूए,चेंगलपट्टू
48,वेप्पमपट्टू,चेंगलपट्टू
49,क़ादर,क़ादरी
50,सईद_क़ादरी,क़ादरी
51,क़ादरिया,क़ादरी
52,क़ादयान,क़ादरी
53,क़ादरी,क़ादरी
54,फतुहाँ,फतुहा
55,फ़तुहा,फतुहा
56,समपतचक,फतुहा
57,खुसरुपूर,फतुहा
58,पानदारक,फतुहा
59,मारपीटकर,मारपीट
60,मारपीटा,मारपीट
61,मारपी,मारपीट
62,जड़,जड़
63,गलनः,जड़
64,ब्यर,जड़
65,जड़ों,जड़
66,था.प्रारंभिक,प्रारंभिक
67,है.प्रारंभिक,प्रारंभिक
68,गएप्राइम,प्राइम
69,शुरूप्राइम,प्राइम
70,सुपरप्राइम,प्राइम
71,कन्धा,कंधा
72,कंधाें,कंधा
73,कंधाल,कंधा
74,कंधाई,कंधा
75,कंधे,कंधा
76,लोकतंत्रा,लोकतंत्र
77,लोकतंत्र्ा,लोकतंत्र
78,लोभतंत्र,लोकतंत्र
79,धनतंत्र,लोकतंत्र
80,असरन,सरन
81,अगयश,सरन
82,रामलोचन,सरन
83,श्रिया,सरन
84,बरिंद्र,सरन
85,डा.खालिद,खालिद
86,मो.खालिद,खालिद
87,ख़ालिद,खालिद
88,खालिक़,खालिद
89,मझरज,खालिद
90,परिवर्तिति,परिवर्तित
91,परिवर्तितकर,परिवर्तित
92,धर्मपरिवर्तित,परिवर्तित
93,यांत्रिक,परिवर्तित
94,एनईएलपी,सीएलपी
95,बीएलपी,सीएलपी
96,टीएलपी,सीएलपी
97,ओटीईएलपी,सीएलपी
98,डीईएलपी,सीएलपी
99,शफीका,फीका
100,फीकापन,फीका
101,अप्रफीका,फीका
102,कॉफीका,फीका
103,फीके,फीका
104,रुबरु,रुबरू
105,रुबरूं,रुबरू
106,रूबरु,रुबरू
107,तार्रुफ़,रुबरू
108,कविराज,गुप्त
109,चमललाल,गुप्त
110,मन्मथनाथ_गुप्त,गुप्त
111,सुदीप्त_कविराज,गुप्त
112,मैथलीशरण,गुप्त
113,ओक्लेद्क्ज्ज्कुद्स्झ्म्ग्सिउओक्स्र्फ्ज्कुद्स्किउफ्द्व्स्,जुनीचीरो
114,जूनीचीरो,जुनीचीरो
115,म्फ्व्म्द्फ्म्न्फ्द्श्फ्द्श्ज्क्स्ज्फ्द्ज्ख्स्र्फिप्स्व्झ्र्,जुनीचीरो
116,हैनीला,नीला
117,सपनीला,नीला
118,नीलाऔर,नीला
119,हुआनीला,नीला
120,नीलाश्गा,नीला
121,वैंतूर,भंतूर
122,वेंतूर,भंतूर
123,चिंतूर,भंतूर
124,जिंतूर,भंतूर
125,संतूरपरवीन,भंतूर
126,धाबीबस,धाबी
127,मैंए,धाबी
128,आबुधाबी,धाबी
129,धीरुभाइ,धीरुभाई
130,अंबानीधीरुभाई,धीरुभाई
131,बचुभाई,धीरुभाई
132,नातुभाई,धीरुभाई
133,नभुभाई,धीरुभाई
134,जहाँआराए,जहाँआरा
135,जहाँआज,जहाँआरा
136,रोशनआरा,जहाँआरा
137,मुमताज़,जहाँआरा
138,खादीज़ा,जहाँआरा
139,सिवानी,सिवान
